title,authors,year,source,paper,citations no.
The history of sexuality: An introduction,M Foucault,1990,,https://www.researchgate.net/profile/David-Halperin-2/publication/249982646_Forgetting_Foucault_Acts_Identities_and_the_History_of_Sexuality/links/5652972108aefe619b18d7c2/Forgetting-Foucault-Acts-Identities-and-the-History-of-Sexuality.pdf,53243
Strategy and structure: Chapters in the history of the American industrial enterprise,AD Chandler Jr,1969,https://books.google.com/books?hl=en&lr=lang_en&id=xvz4WOOYzmAC&oi=fnd&pg=PA1&dq=history&ots=diXapvSVFX&sig=M2FhUB-EqOarwgJYQtd1ER-otO8,,27391
The predicament of culture,J Clifford,1988,https://www.degruyter.com/document/doi/10.4159/9780674503724/html,https://www.degruyter.com/document/doi/10.4159/9780674503724/pdf,14527
"The Big Five trait taxonomy: History, measurement, and theoretical perspectives","OP John, S Srivastava",1999,,http://www.personality-project.org/revelle/syllabi/classreadings/john.pdf,12695
Structure and change in economic history,DC North,1981,https://agris.fao.org/agris-search/search.do?recordID=US201300135379,,12370
Europe and the People without History,ER Wolf,1982,https://books.google.com/books?hl=en&lr=lang_en&id=eJWjES159ocC&oi=fnd&pg=PR9&dq=history&ots=osq6KUg17u&sig=_rqNHdF3FuFgUKqkxFLIyoAlRgs,https://sites.pitt.edu/~ajm37/professional/teachingsyllabi/2016anth329.pdf,11539
The end of history?,F Fukuyama,1989,https://www.jstor.org/stable/24027184,https://dl1.cuni.cz/pluginfile.php/1105280/mod_resource/content/1/Fukuyama%20-%20The%20End%20of%20History.pdf,10635
Phylogeography: the history and formation of species,JC Avise,2000,https://books.google.com/books?hl=en&lr=lang_en&id=lA7YWH4M8FUC&oi=fnd&pg=PA1&dq=history&ots=LyuL08iR7L&sig=P-1Fex8cZMN860IovGQfU3AprDU,,9010
"Nietzsche, genealogy, history",M Foucault,1978,https://philarchive.org/archive/FOUNGH,https://philarchive.org/archive/FOUNGH,9004
History and class consciousness: Studies in Marxist dialectics,G Lukács,1972,https://books.google.com/books?hl=en&lr=lang_en&id=SfcylisIu4gC&oi=fnd&pg=PR7&dq=history&ots=OpJBpF7aPx&sig=Fp9PWicc2Bpkre6ujrseyYsX9Cw,https://csun.edu/~snk1966/Lukacs%20-%20History%20and%20Class%20Consciousness%20-%20Class%20Consciousness.pdf,8915
The civilizing process: The history of manners,N Elias,1978,https://philpapers.org/rec/ELITCP-3,,8711
A critique of postcolonial reason: Toward a history of the vanishing present,GC Spivak,1999,https://books.google.com/books?hl=en&lr=lang_en&id=lvMXBAAAQBAJ&oi=fnd&pg=PR7&dq=history&ots=37ICHYmAK_&sig=GQsQJ4hpk7o5NdUM3PMeSTTqhhw,,8690
The idea of history,"RG Collingwood, RG Collingwood",1994,https://books.google.com/books?hl=en&lr=lang_en&id=pTucAQAAQBAJ&oi=fnd&pg=PP2&dq=history&ots=UOSygh3Rwc&sig=UjJblzNsmxtjcUNVraiE6rSvTjQ,http://www.math.chalmers.se/~ulfp/Review/collingwood.pdf,8283
"The city in history: Its origins, its transformations, and its prospects",L Mumford,1961,,,8251
"Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica","JR Petit, J Jouzel, D Raynaud, NI Barkov, JM Barnola…",1999,https://www.nature.com/articles/20859,https://escholarship.org/content/qt7rx4413n/qt7rx4413n.pdf,7634
