title,authors,year,source,paper,citations no.
Pattern recognition and machine learning,"CM Bishop, NM Nasrabadi",2006,https://link.springer.com/book/10.1007/978-0-387-45528-0,https://www.academia.edu/download/30428242/bg0137.pdf,57547
Scikit-learn: Machine learning in Python,"F Pedregosa, G Varoquaux, A Gramfort…",2011,https://www.jmlr.org/papers/volume12/pedregosa11a/pedregosa11a.pdf?ref=https://githubhelp.com,https://www.jmlr.org/papers/volume12/pedregosa11a/pedregosa11a.pdf?ref=https://githubhelp.com,56054
Data mining: practical machine learning tools and techniques with Java implementations,"IH Witten, E Frank",2002,https://dl.acm.org/doi/pdf/10.1145/507338.507355,http://papers.cumincad.org/data/works/att/70cc.content.pdf,45216
Gaussian processes in machine learning,CE Rasmussen,2003,https://link.springer.com/chapter/10.1007/978-3-540-28650-9_4,"ftp://nozdr.ru/biblio/kolxoz/Cs/CsLn/Advanced%20Lectures%20on%20Machine%20Learning%202003(LNCS3176,%20Springer,%202004)(ISBN%203540231226)(248s).pdf#page=70",25154
{TensorFlow}: A System for {Large-Scale} Machine Learning,"M Abadi, P Barham, J Chen, Z Chen, A Davis…",2016,https://www.usenix.org/conference/osdi16/technical-sessions/presentation/abadi,https://www.usenix.org/system/files/conference/osdi16/osdi16-abadi.pdf,17763
Machine learning in automated text categorization,F Sebastiani,2002,https://dl.acm.org/doi/abs/10.1145/505282.505283,https://arxiv.org/pdf/cs/0110053,11451
Thumbs up? Sentiment classification using machine learning techniques,"B Pang, L Lee, S Vaithyanathan",2002,https://arxiv.org/abs/cs/0205070,https://arxiv.org/pdf/cs/0205070,11315
Machine learning: a probabilistic perspective,KP Murphy,2012,https://books.google.com/books?hl=en&lr=lang_en&id=RC43AgAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=umkxbyQw-6&sig=dJjJu5wNE8Awys74keeBjlBENDc,https://research.google/pubs/pub38136.pdf,11116
Introduction to machine learning,E Alpaydin,2020,https://books.google.com/books?hl=en&lr=lang_en&id=tZnSDwAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=F3WS7Wavxk&sig=8axatGnW0miV8eHPbyCKG1OCsW4,https://www.bme.ufl.edu/wp-content/uploads/2018/07/Fall-2015-Syllabus-BME6938-Machine-Learning.pdf,10894
Ensemble methods in machine learning,TG Dietterich,2000,https://link.springer.com/chapter/10.1007/3-540-45014-9_1,"http://nozdr.ru/data/media/biblio/kolxoz/Cs/CsLn/M/Multiple%20Classifier%20Systems,%201%20conf.,%20MCS%202000(LNCS1857,%20Springer,%202000)(ISBN%203540677046)(411s)_CsLn_.pdf#page=8",8148
The use of the area under the ROC curve in the evaluation of machine learning algorithms,AP Bradley,1997,https://www.sciencedirect.com/science/article/pii/S0031320396001422,https://www.inf.ufpr.br/lesoliveira/padroes/ROCAUC.pdf,6438
Practical bayesian optimization of machine learning algorithms,"J Snoek, H Larochelle…",2012,https://proceedings.neurips.cc/paper/4522-practical-bayesian-optimization,https://proceedings.neurips.cc/paper/2012/file/05311655a15b75fab86956663e1819cd-Paper.pdf,6270
Supervised machine learning: A review of classification techniques,"SB Kotsiantis, I Zaharakis, P Pintelas",2007,https://books.google.com/books?hl=en&lr=lang_en&id=vLiTXDHr_sYC&oi=fnd&pg=PA3&dq=machine+learning&ots=CZpuvu1Jjp&sig=s-uQ-FgGubGrWUDqo-AHSgtzXwY,https://informatica.si/index.php/informatica/article/viewFile/148/140,5925
Machine learning for high-speed corner detection,"E Rosten, T Drummond",2006,https://link.springer.com/chapter/10.1007/11744023_34,https://link.springer.com/content/pdf/10.1007/11744023_34.pdf,5860
Large-scale machine learning with stochastic gradient descent,L Bottou,2010,https://link.springer.com/chapter/10.1007/978-3-7908-2604-3_16,http://khalilghorbal.info/assets/spa/papers/ML_GradDescent.pdf,5685
Some studies in machine learning using the game of checkers. II—recent progress,AL Samuel,1988,https://link.springer.com/chapter/10.1007/978-1-4613-8716-9_15,https://hci.iwr.uni-heidelberg.de/system/files/private/downloads/636026949/report_frank_gabel.pdf,5133
Selection of relevant features and examples in machine learning,"AL Blum, P Langley",1997,https://www.sciencedirect.com/science/article/pii/S0004370297000635,https://www.sciencedirect.com/science/article/pii/S0004370297000635/pdf?md5=cf87d76dd3360e6ceb03b6bca60e623e&pid=1-s2.0-S0004370297000635-main.pdf,5046
UCI machine learning repository,"A Asuncion, D Newman",2007,https://ergodicity.net/2013/07/,https://ergodicity.net/2013/07/,4972
Understanding machine learning: From theory to algorithms,"S Shalev-Shwartz, S Ben-David",2014,https://books.google.com/books?hl=en&lr=lang_en&id=Hf6QAwAAQBAJ&oi=fnd&pg=PR15&dq=machine+learning&ots=2IuiOjmPM-&sig=4SFv5MgTg-iwSqPWoYFPhFkffAs,http://103.47.12.35/bitstream/handle/1/1069/understanding-machine-learning-theory-algorithms.pdf?sequence=1&isAllowed=y,4645
Correlation-based feature selection for machine learning,MA Hall,1999,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.444.2856&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.444.2856&rep=rep1&type=pdf,4427
"Machine learning: Trends, perspectives, and prospects","MI Jordan, TM Mitchell",2015,https://www.science.org/doi/abs/10.1126/science.aaa8415,http://www.cs.cmu.edu/~tom/pubs/Science-ML-2015.pdf,4158
Foundations of machine learning,"M Mohri, A Rostamizadeh, A Talwalkar",2018,https://books.google.com/books?hl=en&lr=lang_en&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=machine+learning&ots=AysSWQv4mZ&sig=caY5MUOyaYgBBubsbYIOd0vPHXA,n/a,4081
"Machine learning, neural and statistical classification","D Michie, DJ Spiegelhalter, CC Taylor",1994,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.27.355,n/a,4054
Genetic algorithms and machine learning,JJ Grefenstette,1993,https://dl.acm.org/doi/pdf/10.1145/168304.168305,https://dl.acm.org/doi/pdf/10.1145/168304.168305,3858
A study of the behavior of several methods for balancing machine learning training data,"GE Batista, RC Prati, MC Monard",2004,https://dl.acm.org/doi/abs/10.1145/1007730.1007735,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.58.7757&rep=rep1&type=pdf,3209
A few useful things to know about machine learning,P Domingos,2012,https://dl.acm.org/doi/pdf/10.1145/2347736.2347755,https://pdfs.semanticscholar.org/c3b6/0802b56eeec611e9def0fdfbcaf42b851b99.pdf,3170
An introduction to MCMC for machine learning,"C Andrieu, N De Freitas, A Doucet, MI Jordan",2003,https://link.springer.com/article/10.1023/A:1020281327116,https://link.springer.com/article/10.1023/A:1020281327116,3072
"Computer systems that learn: classification and prediction methods from statistics, neural nets, machine learning, and expert systems","SM Weiss, CA Kulikowski",1991,https://dl.acm.org/doi/abs/10.5555/102700,n/a,2971
Dlib-ml: A machine learning toolkit,DE King,2009,https://www.jmlr.org/papers/volume10/king09a/king09a.pdf,https://www.jmlr.org/papers/volume10/king09a/king09a.pdf,2818
Machine learning: An artificial intelligence approach,"RS Michalski, JG Carbonell, TM Mitchell",2013,https://books.google.com/books?hl=en&lr=lang_en&id=-eqpCAAAQBAJ&oi=fnd&pg=PA2&dq=machine+learning&ots=Wm4OMy7Ii8&sig=o9X1hv38gsKo7U88wsRnaVwNoyw,https://novmar.pl/sites/default/files/webform/pdf-machine-learning-an-artifical-intelligence-approach-symbolic-co-rs-michalski-jg-carbonell-tm-mitchell-pdf-download-free-book-c815fec.pdf,2768
The boosting approach to machine learning: An overview,RE Schapire,2003,https://link.springer.com/chapter/10.1007/978-0-387-21579-2_9,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.448.3000&rep=rep1&type=pdf,2538
Practical black-box attacks against machine learning,"N Papernot, P McDaniel, I Goodfellow, S Jha…",2017,https://dl.acm.org/doi/abs/10.1145/3052973.3053009,https://dl.acm.org/doi/pdf/10.1145/3052973.3053009?ref=https://githubhelp.com,2527
Correlation-based feature selection of discrete and numeric class machine learning,MA Hall,2000,https://researchcommons.waikato.ac.nz/handle/10289/1024,https://researchcommons.waikato.ac.nz/bitstream/handle/10289/1024/uow-cs-wp-2000-08.pdf?sequence=1&isAllowed=y,2382
Faster and better: A machine learning approach to corner detection,"E Rosten, R Porter, T Drummond",2008,https://ieeexplore.ieee.org/abstract/document/4674368/,https://arxiv.org/pdf/0810.2434,2299
Distributed graphlab: A framework for machine learning in the cloud,"Y Low, J Gonzalez, A Kyrola, D Bickson…",2012,https://arxiv.org/abs/1204.6078,https://arxiv.org/pdf/1204.6078,2277
Optimization methods for large-scale machine learning,"L Bottou, FE Curtis, J Nocedal",2018,https://epubs.siam.org/doi/abs/10.1137/16M1080173,https://arxiv.org/pdf/1606.04838,2271
Interpretable machine learning,C Molnar,2020,https://books.google.com/books?hl=en&lr=lang_en&id=jBm3DwAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=EgwSXkHJUY&sig=DhmJ_vjqGGvoLdOZm9XDBJqUjMc,n/a,2246
Machine learning: an algorithmic perspective,S Marsland,2011,https://www.taylorfrancis.com/books/mono/10.1201/9781420067194/machine-learning-stephen-marsland,http://dai.fmph.uniba.sk/courses/ICI/References/marsland.machine-learning.2ed.2015.pdf,2206
"The immune system, adaptation, and machine learning","JD Farmer, NH Packard, AS Perelson",1986,https://www.sciencedirect.com/science/article/pii/016727898690240X,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.122.6614&rep=rep1&type=pdf,2151
