title,authors,year,source,paper,citations no.
"On evolution, search, optimization, genetic algorithms and martial arts: Towards memetic algorithms",P Moscato,1989.0,https://www.researchgate.net/profile/Pablo-Moscato/publication/2354457_On_Evolution_Search_Optimization_Genetic_Algorithms_and_Martial_Arts_-_Towards_Memetic_Algorithms/links/54b32b950cf220c63cd27988/On-Evolution-Search-Optimization-Genetic-Algorithms-and-Martial-Arts-Towards-Memetic-Algorithms.pdf,https://www.researchgate.net/profile/Pablo-Moscato/publication/2354457_On_Evolution_Search_Optimization_Genetic_Algorithms_and_Martial_Arts_-_Towards_Memetic_Algorithms/links/54b32b950cf220c63cd27988/On-Evolution-Search-Optimization-Genetic-Algorithms-and-Martial-Arts-Towards-Memetic-Algorithms.pdf,2566
Collective identity in social movement,"V Taylor, NE Whittier",1992.0,https://books.google.com/books?hl=en&lr=lang_en&id=CTVtAAAAQBAJ&oi=fnd&pg=PA169&dq=martial+arts&ots=zMEYXU1xFv&sig=A2xtp_b3Xv-Mj3epLh2j_iCtNAM,,2221
Reducing frailty and falls in older persons: an investigation of Tai Chi and computerized balance training,"SL Wolf, HX Barnhart, NG Kutner…",1996.0,https://agsjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1532-5415.1996.tb01432.x,,1571
The body: Social process and cultural theory,"M Featherstone, BS Turner, M Hepworth",1990.0,https://www.torrossa.com/gs/resourceProxy?an=5018660&publisher=FZ7200,https://m.bluesysteminc.com/wp-content/uploads/2021/02/Literariness.org-Mike-Featherstone-Mike-Hepworth-Bryan-S-Turner-The-Body_-Social-Process-and-Cultural-Theory-1991-Sage-Publications-Ltd.pdf,1533
Sexual homicide: Patterns and motives,"RK Ressler, AW Burgess, JE Douglas",1988.0,https://books.google.com/books?hl=en&lr=lang_en&id=wrYT2kb2o3EC&oi=fnd&pg=PR9&dq=martial+arts&ots=lBFA8poJOh&sig=G7i0rVv6pmNfP4JVPvK4iiCUb30,,1490
The conspiracy to destroy Black boys,J Kunjufu,1985.0,https://files.eric.ed.gov/fulltext/ED285928.pdf#page=32,https://files.eric.ed.gov/fulltext/ED285928.pdf#page=32,1396
Flow: The psychology of optimal experience,M Czikszentmihalyi,1990.0,https://www.academia.edu/download/61507600/Flow_The_Psychology_of_Optimal_Experience20191213-16391-wlbah5.pdf,https://www.academia.edu/download/61507600/Flow_The_Psychology_of_Optimal_Experience20191213-16391-wlbah5.pdf,1297
The meeting of East and West An inquiry concerning world understanding,FSC Northrop,1946.0,https://philpapers.org/rec/NORTMO-19,,979
Sharing the dance: Contact improvisation and American culture,CJ Novack,1990.0,https://books.google.com/books?hl=en&lr=lang_en&id=6sHFCQAAQBAJ&oi=fnd&pg=PR7&dq=martial+arts&ots=eop-jzWidm&sig=4rV4cCUnEC7kp3uUcxlRp894K5U,,928
"Toward an Asian American legal scholarship: Critical race theory, post-structuralism, and narrative space",RS Chang,1993.0,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/calr81&section=38,https://digitalcommons.law.seattleu.edu/cgi/viewcontent.cgi?article=1411&context=faculty,851
Training the body for China: Sports in the moral order of the People's Republic,S Brownell,1995.0,https://books.google.com/books?hl=en&lr=lang_en&id=4VDfNPqUkpMC&oi=fnd&pg=PR9&dq=martial+arts&ots=Gdsw7f3c1H&sig=CS8EUADa29IMin7ttOlq_P3XbHk,,825
Acute cardiac events temporally related to cocaine abuse,"JM Isner, NAM Estes III, PD Thompson…",1986.0,https://www.nejm.org/doi/full/10.1056/nejm198612043152302,,710
Therapeutic touch,D Krieger,1979.0,https://books.google.com/books?hl=en&lr=lang_en&id=RcDCa4TlFs4C&oi=fnd&pg=PR7&dq=martial+arts&ots=6zY_TOzuxq&sig=NLMx6jV7ppibKVWuGWX2d51BFAU,https://www.researchgate.net/profile/Erik-Peper/publication/232191329_Searching_for_Evidence_of_Physiological_Change/links/5a6e8530a6fdcc317b191835/Searching-for-Evidence-of-Physiological-Change.pdf,681
Sale,V WILLISTON,1974.0,https://www.vtcommercial.com/wp-content/uploads/2017/10/Williston-177-179-Commerce-St-1117.pdf,,677
The origins of the Boxer Uprising,JW Esherick,1988.0,https://books.google.com/books?hl=en&lr=lang_en&id=jVESdBSMasMC&oi=fnd&pg=PR11&dq=martial+arts&ots=dhYATtoVi5&sig=Yf-biGaV1X-gaD8bz_NqSkfAgaA,,631
