title,case,year,source,citations no.
"Spokeo, Inc. v. Robins","136 S. Ct. 1540, 194 L. Ed. 2d 635, 578 US 330 - Supreme Court",2016,https://scholar.google.com/scholar_case?case=11810453531811593153&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,7074
Carpenter v. US,"138 S. Ct. 2206, 585 US 2018, 201 L. Ed. 2d 507 - Supreme Court",2018,https://scholar.google.com/scholar_case?case=14655974745807704559&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,2816
Whole Woman's Health v. Hellerstedt,"136 S. Ct. 2292, 579 US __, 195 L. Ed. 2d 665 - Supreme Court",2016,https://scholar.google.com/scholar_case?case=12719084930434459940&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,1684
Birchfield v. North Dakota,"136 S. Ct. 2160, 579 US 438, 195 L. Ed. 2d 560 - Supreme Court",2016,https://scholar.google.com/scholar_case?case=13321473862812444568&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,1468
Utah v. Strieff,"136 S. Ct. 2056, 579 US 232, 195 L. Ed. 2d 400 - Supreme Court",2016,https://scholar.google.com/scholar_case?case=9629285468857998027&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,1288
Packingham v. North Carolina,"137 S. Ct. 1730, 582 US __, 198 L. Ed. 2d 273 - Supreme Court",2017,https://scholar.google.com/scholar_case?case=285661631352488303&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,1266
King v. Rubenstein,"825 F. 3d 206 - Court of Appeals, 4th Circuit",2016,https://scholar.google.com/scholar_case?case=15806527600381902162&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,1050
State v. Loomis,"881 NW 2d 749, 2016 WI 68, 371 Wis. 2d 235 - Wis: Supreme Court",2016,https://scholar.google.com/scholar_case?case=3222116451721963278&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,921
"Shane Group, Inc. v. Blue Cross Blue Shield of MI","825 F. 3d 299 - Court of Appeals, 6th Circuit",2016,https://scholar.google.com/scholar_case?case=17726828905517849620&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,679
Parkell v. Danberg,"833 F. 3d 313 - Court of Appeals, 3rd Circuit",2016,https://scholar.google.com/scholar_case?case=3280168093840646788&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,563
Juliana v. US,"217 F. Supp. 3d 1224 - Dist. Court, D. Oregon",2016,https://scholar.google.com/scholar_case?case=12759102942089888368&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,555
Whitaker v. Kenosha Unified School District,"858 F. 3d 1034 - Court of Appeals, 7th Circuit",2017,https://scholar.google.com/scholar_case?case=9489172744748605764&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,540
