title,authors,source,year,citations no.
Deep learning,"Y LeCun, Y Bengio, G Hinton",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:lo0OIn9KAZgC,2015,51431
Gradient-based learning applied to document recognition,"Y LeCun, L Bottou, Y Bengio, P Haffner",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:u5HHmVD_uO8C,1998,45594
Backpropagation applied to handwritten zip code recognition,"Y LeCun, B Boser, JS Denker, D Henderson, RE Howard, W Hubbard, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:u-x6o8ySG0sC,1989,10833
"Convolutional networks for images, speech, and time series","Y LeCun, Y Bengio",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:YsMSGLbcyi4C,1995,5783
"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks","P Sermanet, D Eigen, X Zhang, M Mathieu, R Fergus, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Zo6E4E6iJKMC,2014,5460
The MNIST database of handwritten digits,"Y LeCun, C Cortes",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:W7OEmFMy1HYC,1998,5284
Handwritten digit recognition with a back-propagation network,"Y LeCun, B Boser, JS Denker, D Henderson, RE Howard, W Hubbard, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:TIZ-Mc8IlK0C,1990,4786
Efficient backprop,"YA LeCun, L Bottou, GB Orr, KR Müller",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:2osOgNQ5qMEC,1998,4746
Optimal Brain Damage,"Y LeCun, JS Denker, SA Solla",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:rywEMSoAiS0C,1990,4592
Character-level convolutional networks for text classification,"X Zhang, J Zhao, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:7EeV9ZTah7MC,2015,4253
"Learning a similarity metric discriminatively, with application to face verification","S Chopra, R Hadsell, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:LkGwnXOMwfcC,2005,3655
Dimensionality reduction by learning an invariant mapping,"R Hadsell, S Chopra, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:KlAtU1dfN6UC,2006,3497
Spectral Networks and Locally Connected Networks on Graphs,"J Bruna, W Zaremba, A Szlam, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:jjenCjXDw2QC,2014,3486
"Signature verification using a"" siamese"" time delay neural network","J Bromley, I Guyon, Y LeCun, E Säckinger, R Shah",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:kNdYIx-mwKoC,1993,3221
Learning Hierarchical Features for Scene Labeling,"C Farabet, C Couprie, L Najman, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:EPG8bYD4jVwC,2013,2991
MNIST handwritten digit database,"Y LeCun, C Cortes, C Burges",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:6fs0NoO7GbkC,2010,2718
What is the best multi-stage architecture for object recognition?,"K Jarrett, K Kavukcuoglu, MA Ranzato, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:5nxA0vEk-isC,2009,2669
Regularization of neural networks using dropconnect,"L Wan, M Zeiler, S Zhang, Y LeCun, R Fergus",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:kJDgFkosVoMC,2013,2613
Geometric deep learning: going beyond euclidean data,"MM Bronstein, J Bruna, Y LeCun, A Szlam, P Vandergheynst",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:KG521SxztIwC,2017,2287
Convolutional networks and applications in vision,"Y LeCun, K Kavukcuoglu, C Farabet",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:_Qo2XoVZTnwC,2010,2281
Deep multi-scale video prediction beyond mean square error,"M Mathieu, C Couprie, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:q7hqJx8pYzEC,2015,1728
Efficient learning of sparse representations with an energy-based model,"MA Ranzato, C Poultney, S Chopra, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:eQOLeE2rZwMC,2006,1660
A Closer Look at Spatiotemporal Convolutions for Action Recognition,"D Tran, H Wang, L Torresani, J Ray, Y LeCun, M Paluri",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:FcH-RsB9iB0C,2017,1640
Learning methods for generic object recognition with invariance to pose and lighting,"Y LeCun, FJ Huang, L Bottou",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Tyk-4Ss8FVUC,2004,1615
Joint training of a convolutional network and a graphical model for human pose estimation,"JJ Tompson, A Jain, Y LeCun, C Bregler",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:vq7B84E5p90C,2014,1553
Exploiting linear structure within convolutional networks for efficient evaluation,"EL Denton, W Zaremba, J Bruna, Y LeCun, R Fergus",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:OcT3jDimY5MC,2014,1535
Scaling learning algorithms towards AI,"Y Bengio, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:WF5omc3nYNoC,2007,1520
A theoretical analysis of feature pooling in visual recognition,"YL Boureau, J Ponce, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:blknAaTinKkC,2010,1475
Comparison of Learning Algorithms for Handwritten Digit Recognition,"Y LeCun, L Jackel, L Bottou, A Brunot, C Cortes, J Denker, H Drucker, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:V3AGJWp-ZtQC,1995,1473
